Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
EBET,"Ebet Inc",0.0316,-0.0202,-39.00%,0.0451,0.031,384526594,2023-09-29
NVOS,"Novo Integrated Sciences Inc",0.2982,0.0972,+48.36%,0.3743,0.2625,225239813,2023-09-29
RVLP,"Rvl Pharmaceuticals Plc",0.0866,0.0085,+10.88%,0.128,0.0824,190285422,2023-09-29
FEMY,"Femasys Inc",2.98,1.46,+96.05%,3.62,1.88,160282406,2023-09-29
TSLA,"Tesla Inc",250.22,3.84,+1.56%,254.77,246.35,128522703,2023-09-29
TTOO,"T2 Biosystems CS",0.2209,0.0426,+23.89%,0.2398,0.1991,110217000,2023-09-29
OPGN,"Opgen Inc",0.4006,0.1996,+99.30%,0.5799,0.348,96198891,2023-09-29
CCL,"Carnival Corp",13.72,-0.72,-4.99%,15.24,13.24,91954891,2023-09-29
PLTR,"Palantir Technologies Inc Cl A",16,0.23,+1.46%,16.81,15.96,78055000,2023-09-29
NKLA,"Nikola Corp",1.57,-0.08,-4.85%,1.7,1.53,76081805,2023-09-29
AVTX,"Cerecor Inc",0.1207,-0.0207,-14.64%,0.1465,0.12,73969695,2023-09-29
MCOM,"Micromobility.com Inc",0.0589,0.0032,+5.75%,0.0645,0.0567,70862305,2023-09-29
AMZN,"Amazon.com Inc",127.12,1.14,+0.90%,129.15,126.32,62411699,2023-09-29
F,"Ford Motor Company",12.42,-0.14,-1.11%,12.66,12.35,62364801,2023-09-29
ICU,"Seastar Medical Hldg Corp",0.264,0.077,+41.18%,0.36,0.2143,59642301,2023-09-29
INPX,Inpixon,0.1119,-0.0109,-8.88%,0.135,0.09,56228500,2023-09-29
AMD,"Adv Micro Devices",102.82,0.06,+0.06%,104.94,102.56,56078602,2023-09-29
AAPL,"Apple Inc",171.21,0.52,+0.30%,173.07,170.34,51861004,2023-09-29
PFE,"Pfizer Inc",33.17,1.08,+3.37%,33.23,32.3,42421398,2023-09-29
NIO,"Nio Inc ADR",9.04,0.13,+1.46%,9.22,8.86,40994000,2023-09-29
BAC,"Bank of America Corp",27.38,-0.18,-0.65%,27.99,27.27,40645801,2023-09-29
NVDA,"Nvidia Corp",434.99,4.1,+0.95%,441.44,433.07,39782898,2023-09-29
GMBL,"Esports Entertainment Group Inc",0.1064,0.0227,+27.12%,0.107,0.0899,37657699,2023-09-29
RIVN,"Rivian Automotive Inc Cl A",24.28,1.2,+5.20%,24.5,23.39,35885801,2023-09-29
NKE,"Nike Inc",95.62,5.99,+6.68%,99.47,94.62,34935301,2023-09-29
AAL,"American Airlines Gp",12.81,-0.11,-0.85%,13.06,12.65,33999203,2023-09-29
LCID,"Lucid Group Inc",5.59,0.06,+1.08%,5.7,5.5,31028801,2023-09-29
GOOGL,"Alphabet Cl A",130.86,-1.45,-1.10%,134.05,130.36,30859699,2023-09-29
CGC,"Canopy Growth Corp",0.7828,-0.0308,-3.79%,0.845,0.77,30400299,2023-09-29
T,"AT&T Inc",15.02,0.01,+0.07%,15.1,14.91,29640801,2023-09-29
SOFI,"Sofi Technologies Inc",7.99,0.22,+2.83%,8.3,7.91,28779301,2023-09-29
INTC,"Intel Corp",35.55,0.37,+1.05%,35.91,35.15,28763699,2023-09-29
NCLH,"Norwegian Cruise Ord",16.48,-0.46,-2.72%,17.08,16.05,28030201,2023-09-29
